accx,accy,accz,activity
-0.248297687,0.269304046,-0.826970979,4
0.000291354,0.11566334,0.375967421,4
-0.027349993,-0.225554522,0.26937217,4
0.091236894,0.023403265,0.201819682,4
-0.008951085,0.233230662,-0.123463966,4
-0.329176985,-0.150581195,-0.216692774,4
-0.218823845,0.032038409,-0.029304277,4
0.173531547,0.05147133,0.020935594,4
0.061127997,0.150031574,0.266826696,4
0.052230666,0.093641432,-0.198589703,4
0.226629107,0.049861658,0.004468911,4
0.262567081,0.074134046,-0.063610973,4
0.010683855,-0.1613677,-0.154106201,4
-0.153953112,0.017048111,-0.037144381,4
0.101306548,0.124455585,0.046896389,4
-0.28616733,-0.047855351,0.200847148,4
-0.129079615,-0.088566532,-0.102647322,4
0.138351546,0.010112689,-0.065377895,4
0.043933313,-0.05659536,0.055717239,4
-0.04547283,0.021745457,-0.121859374,4
0.089248819,0.038019434,0.04322229,4
-0.0184717,0.008736033,0.036015085,4
-0.072442665,-0.015791099,-0.002434105,4
-0.018053304,0.010564226,0.011065376,4
-0.006398824,-0.005314303,-0.069129238,4
-0.148196397,-0.080171181,0.076320779,4
-0.005997205,0.053331091,0.084701259,4
0.041098257,0.099765874,0.165803542,4
-0.011914229,-0.009726724,-0.02381469,4
-0.030718174,0.008872842,0.048246608,4
0.059302067,0.052627186,0.002910797,4
0.062679465,0.045285601,-0.115865777,4
-0.138960968,-0.095354467,0.063044916,4
0.033355574,-0.026554118,0.086493224,4
0.05317997,0.07749835,-0.108194631,4
0.038707997,0.051959879,0.023893986,4
0.036981098,-0.03343168,0.015183678,4
0.024879459,-0.021909272,-0.044187492,4
0.0099231,0.047356116,0.004364587,4
-0.022995906,-0.01259895,-0.056890494,4
0.001955483,0.02340685,0.09419996,4
-0.166696172,0.026173614,-0.085206575,4
-0.067715004,0.006226763,0.178001395,4
0.096450387,-0.021078651,-0.056963783,4
0.029903115,-0.020485671,0.08233512,4
0.012369001,-0.022934348,-0.144873992,4
0.086805116,0.023539306,0.005868636,4
